Chakana sotuvchi,Sotuvchi ID,Hisob-faktura sanasi,Hudud,Viloyat,Shahar,Mahsulot,Birlik narxi (so'm),Sotilgan birlik,Jami savdo (so'm),Operatsion foyda (so'm),Operatsion marja,Sotuv usuli
SneakerPro,1185732,2020-02-02,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,506000,900,4554000000,1593900000,0.35,Outlet do'kon
SneakerPro,1185732,2020-02-09,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,632500,850,5376250000,1881687500,0.35,Outlet do'kon
SneakerPro,1185732,2020-02-10,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,759000,875,6641250000,1992375000,0.3,Outlet do'kon
SneakerPro,1185732,2020-03-03,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,822250,1000,8222500000,2055625000,0.25,Outlet do'kon
SneakerPro,1185732,2020-03-04,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,759000,1250,9487500000,4743750000,0.5,Outlet do'kon
SneakerPro,1185732,2020-03-05,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,695750,1000,6957500000,2087250000,0.3,Outlet do'kon
SneakerPro,1185732,2020-03-06,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,632500,925,5850625000,2047718750,0.35,Outlet do'kon
SneakerPro,1185732,2020-03-07,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,632500,900,5692500000,1992375000,0.35,Outlet do'kon
SneakerPro,1185732,2020-03-08,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,759000,900,6831000000,2049300000,0.3,Outlet do'kon
SneakerPro,1185732,2020-03-09,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,822250,1050,8633625000,2158406250,0.25,Outlet do'kon
SneakerPro,1185732,2020-03-10,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,759000,1275,9677250000,4838625000,0.5,Outlet do'kon
SneakerPro,1185732,2020-03-11,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,695750,1025,7131437500,2139431250,0.3,Outlet do'kon
SneakerPro,1185732,2020-03-12,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,632500,950,6008750000,2103062500,0.35,Outlet do'kon
SneakerPro,1185732,2020-03-13,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,632500,900,5692500000,1992375000,0.35,Outlet do'kon
SneakerPro,1185732,2020-03-14,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,759000,925,7020750000,2106225000,0.3,Outlet do'kon
SneakerPro,1185732,2020-03-15,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,822250,1100,9044750000,2261187500,0.25,Outlet do'kon
SneakerPro,1185732,2020-03-16,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,759000,1250,9487500000,4743750000,0.5,Outlet do'kon
SneakerPro,1185732,2020-03-17,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,695750,1025,7131437500,2139431250,0.3,Outlet do'kon
SneakerPro,1185732,2020-03-18,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,632500,950,6008750000,2103062500,0.35,Outlet do'kon
SneakerPro,1185732,2020-03-31,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,632500,925,5850625000,2047718750,0.35,Outlet do'kon
Korzinka Market,1185732,2020-04-17,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,759000,900,6831000000,2049300000,0.3,Outlet do'kon
Korzinka Market,1185732,2020-04-18,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,822250,1075,8839187500,2209796875,0.25,Outlet do'kon
Korzinka Market,1185732,2020-04-19,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,759000,1200,9108000000,4554000000,0.5,Outlet do'kon
Korzinka Market,1185732,2020-04-20,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,695750,1000,6957500000,2087250000,0.3,Outlet do'kon
Korzinka Market,1185732,2020-04-21,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,632500,925,5850625000,2047718750,0.35,Outlet do'kon
Korzinka Market,1185732,2020-04-22,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,632500,900,5692500000,1992375000,0.35,Outlet do'kon
Korzinka Market,1185732,2020-04-23,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,759000,900,6831000000,2049300000,0.3,Outlet do'kon
Korzinka Market,1185732,2020-04-24,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,822250,1000,8222500000,2055625000,0.25,Outlet do'kon
Korzinka Market,1185732,2020-04-25,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,822250,875,7194687500,2158406250,0.3,Outlet do'kon
Korzinka Market,1185732,2020-04-26,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,885500,1000,8855000000,2213750000,0.25,Outlet do'kon
Korzinka Market,1185732,2020-04-27,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,822250,1150,9455875000,4727937500,0.5,Outlet do'kon
Korzinka Market,1185732,2020-04-28,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,695750,975,6783562500,2035068750,0.3,Outlet do'kon
Korzinka Market,1185732,2020-04-29,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,695750,920,6400900000,2240315000,0.35,Outlet do'kon
Korzinka Market,1185732,2020-04-30,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,695750,900,6261750000,2191612500,0.35,Outlet do'kon
Korzinka Market,1185732,2020-05-01,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,822250,875,7194687500,2158406250,0.3,Outlet do'kon
Korzinka Market,1185732,2020-05-02,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,885500,975,8633625000,2158406250,0.25,Outlet do'kon
Korzinka Market,1185732,2020-05-03,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,822250,1200,9867000000,4933500000,0.5,Outlet do'kon
Korzinka Market,1185732,2020-05-04,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,695750,1000,6957500000,2087250000,0.3,Outlet do'kon
Korzinka Market,1185732,2020-05-05,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,695750,950,6609625000,2313368750,0.35,Outlet do'kon
Korzinka Market,1185732,2020-05-06,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,695750,900,6261750000,2191612500,0.35,Outlet do'kon
Korzinka Market,1185732,2020-05-07,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,822250,900,7400250000,2220075000,0.3,Outlet do'kon
Korzinka Market,1185732,2020-07-18,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,885500,1000,8855000000,2213750000,0.25,Outlet do'kon
SportMaster,1197831,2020-07-19,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,316250,900,2846250000,996187500,0.35,Outlet do'kon
SportMaster,1197831,2020-07-20,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,442750,900,3984750000,1394662500,0.35,Outlet do'kon
SportMaster,1197831,2020-07-21,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,442750,700,3099250000,1084737500,0.35,Outlet do'kon
SportMaster,1197831,2020-07-22,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,442750,700,3099250000,1394662500,0.45,Outlet do'kon
SportMaster,1197831,2020-07-23,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,506000,550,2783000000,834900000,0.3,Outlet do'kon
SportMaster,1197831,2020-07-24,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,442750,700,3099250000,1549625000,0.5,Outlet do'kon
SportMaster,1197831,2020-07-25,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,316250,850,2688125000,940843750,0.35,Outlet do'kon
SportMaster,1197831,2020-07-26,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,442750,850,3763375000,1317181250,0.35,Outlet do'kon
SportMaster,1197831,2020-07-27,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,442750,675,2988562500,1045996875,0.35,Outlet do'kon
SportMaster,1197831,2020-07-28,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,442750,625,2767187500,1245234375,0.45,Outlet do'kon
SportMaster,1197831,2020-07-29,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,506000,500,2530000000,759000000,0.3,Outlet do'kon
SportMaster,1197831,2020-07-30,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,442750,700,3099250000,1549625000,0.5,Outlet do'kon
SportMaster,1197831,2020-07-31,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,379500,875,3320625000,1162218750,0.35,Outlet do'kon
SportMaster,1197831,2020-08-01,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,506000,875,4427500000,1549625000,0.35,Outlet do'kon
SportMaster,1197831,2020-08-02,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,442750,700,3099250000,1084737500,0.35,Outlet do'kon
SportMaster,1197831,2020-08-03,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,506000,600,3036000000,1366200000,0.45,Outlet do'kon
SportMaster,1197831,2020-08-04,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,500,2846250000,853875000,0.3,Outlet do'kon
SportMaster,1197831,2020-08-05,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,506000,650,3289000000,1644500000,0.5,Outlet do'kon
SportMaster,1197831,2020-08-06,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,379500,900,3415500000,1195425000,0.35,Outlet do'kon
SportMaster,1197831,2020-08-07,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,506000,900,4554000000,1593900000,0.35,Outlet do'kon
SportMaster,1197831,2020-08-08,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,442750,725,3209937500,1123478125,0.35,Outlet do'kon
SportMaster,1197831,2020-08-09,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,506000,625,3162500000,1423125000,0.45,Outlet do'kon
Korzinka Market,1197831,2020-08-10,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,525,2988562500,896568750,0.3,Outlet do'kon
Korzinka Market,1197831,2020-08-11,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,506000,800,4048000000,2024000000,0.5,Outlet do'kon
Korzinka Market,1197831,2020-08-12,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,379500,925,3510375000,1228631250,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-13,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,506000,925,4680500000,1638175000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-14,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,442750,775,3431312500,1200959375,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-15,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,506000,700,3542000000,1593900000,0.45,Outlet do'kon
Korzinka Market,1197831,2020-08-16,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,600,3415500000,1024650000,0.3,Outlet do'kon
Korzinka Market,1197831,2020-08-17,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,506000,950,4807000000,2403500000,0.5,Outlet do'kon
Korzinka Market,1197831,2020-08-18,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,506000,950,4807000000,1682450000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-19,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,569250,950,5407875000,1892756250,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-20,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,506000,800,4048000000,1416800000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-21,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,506000,750,3795000000,1707750000,0.45,Outlet do'kon
Korzinka Market,1197831,2020-08-22,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,650,3700125000,1110037500,0.3,Outlet do'kon
Korzinka Market,1197831,2020-08-23,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,632500,1000,6325000000,3162500000,0.5,Outlet do'kon
Korzinka Market,1197831,2020-08-24,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,506000,950,4807000000,1682450000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-25,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,569250,950,5407875000,1892756250,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-26,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,506000,1100,5566000000,1948100000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-27,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,506000,700,3542000000,1593900000,0.45,Outlet do'kon
Korzinka Market,1197831,2020-08-28,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,700,3984750000,1195425000,0.3,Outlet do'kon
Korzinka Market,1197831,2020-08-29,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,632500,975,6166875000,3083437500,0.5,Outlet do'kon
Korzinka Market,1197831,2020-08-30,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,506000,925,4680500000,1638175000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-08-31,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,569250,925,5265562500,1842946875,0.35,Outlet do'kon
Korzinka Market,1197831,2020-09-01,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,506000,1100,5566000000,1948100000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-09-02,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,506000,650,3289000000,1480050000,0.45,Outlet do'kon
Korzinka Market,1197831,2020-09-03,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,650,3700125000,1110037500,0.3,Outlet do'kon
Korzinka Market,1197831,2020-09-04,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,632500,900,5692500000,2846250000,0.5,Outlet do'kon
Korzinka Market,1197831,2020-09-05,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,569250,850,4838625000,1693518750,0.35,Outlet do'kon
Korzinka Market,1197831,2020-09-06,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,569250,850,4838625000,1693518750,0.35,Outlet do'kon
Korzinka Market,1197831,2020-09-07,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,632500,900,5692500000,1992375000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-09-08,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,632500,625,3953125000,1778906250,0.45,Outlet do'kon
Korzinka Market,1197831,2020-09-09,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,625,3557812500,1067343750,0.3,Outlet do'kon
Korzinka Market,1197831,2020-09-10,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,695750,850,5913875000,2956937500,0.5,Outlet do'kon
Korzinka Market,1197831,2020-09-11,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,569250,800,4554000000,1593900000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-09-12,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,569250,800,4554000000,1593900000,0.35,Outlet do'kon
Korzinka Market,1197831,2020-09-13,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,632500,750,4743750000,1660312500,0.35,Outlet do'kon
Korzinka Market,1197831,2020-09-14,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,632500,600,3795000000,1707750000,0.45,Outlet do'kon
Korzinka Market,1197831,2020-09-15,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,575,3273187500,981956250,0.3,Outlet do'kon
Korzinka Market,1197831,2020-09-16,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,695750,750,5218125000,2609062500,0.5,Outlet do'kon
Korzinka Market,1197831,2020-10-20,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,569250,900,5123250000,1793137500,0.35,Outlet do'kon
Korzinka Market,1197831,2020-10-21,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,569250,900,5123250000,1793137500,0.35,Outlet do'kon
Korzinka Market,1197831,2020-10-22,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,632500,825,5218125000,1826343750,0.35,Outlet do'kon
Korzinka Market,1197831,2020-10-23,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,632500,675,4269375000,1921218750,0.45,Outlet do'kon
Korzinka Market,1197831,2020-10-24,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,650,3700125000,1110037500,0.3,Outlet do'kon
Korzinka Market,1197831,2020-10-25,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,695750,850,5913875000,2956937500,0.5,Outlet do'kon
Korzinka Market,1197831,2020-10-26,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,569250,950,5407875000,1892756250,0.35,Outlet do'kon
Korzinka Market,1197831,2020-10-27,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,569250,950,5407875000,1892756250,0.35,Outlet do'kon
Korzinka Market,1197831,2020-10-28,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,632500,850,5376250000,1881687500,0.35,Outlet do'kon
Korzinka Market,1197831,2020-10-29,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,632500,700,4427500000,1992375000,0.45,Outlet do'kon
Korzinka Market,1197831,2020-10-30,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar kiyimi,569250,650,3700125000,1110037500,0.3,Outlet do'kon
Korzinka Market,1197831,2020-10-31,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar kiyimi,695750,900,6261750000,3130875000,0.5,Outlet do'kon
ActiveGear,1128299,2020-11-01,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun kundalik poyabzal,506000,775,3921500000,1372525000,0.35,Outlet do'kon
ActiveGear,1128299,2020-11-02,Markaziy hudud,Samarqand viloyati,Samarqand,Erkaklar uchun sport poyabzali,632500,775,4901875000,980375000,0.2,Outlet do'kon
ActiveGear,1128299,2020-11-03,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun kundalik poyabzal,632500,775,4901875000,1715656250,0.35,Outlet do'kon
ActiveGear,1128299,2020-11-04,Markaziy hudud,Samarqand viloyati,Samarqand,Ayollar uchun sport poyabzali,632500,625,3953125000,1185937500,0.3,Outlet do'kon
ActiveGear,1128299,2020-11-05,G'arbiy hudud,Xorazm viloyati,Urganch,Erkaklar kiyimi,695750,575,4000562500,2000281250,0.5,Outlet do'kon
ActiveGear,1128299,2020-11-06,G'arbiy hudud,Xorazm viloyati,Urganch,Ayollar kiyimi,632500,775,4901875000,735281250,0.15,Outlet do'kon
ActiveGear,1128299,2020-11-07,G'arbiy hudud,Xorazm viloyati,Urganch,Erkaklar uchun kundalik poyabzal,506000,825,4174500000,1461075000,0.35,Outlet do'kon
ActiveGear,1128299,2020-11-08,G'arbiy hudud,Xorazm viloyati,Urganch,Erkaklar uchun sport poyabzali,632500,725,4585625000,917125000,0.2,Outlet do'kon
ActiveGear,1128299,2020-11-09,G'arbiy hudud,Xorazm viloyati,Urganch,Ayollar uchun kundalik poyabzal,632500,725,4585625000,1604968750,0.35,Outlet do'kon
ActiveGear,1128299,2020-11-10,G'arbiy hudud,Xorazm viloyati,Urganch,Ayollar uchun sport poyabzali,632500,575,3636875000,1091062500,0.3,Outlet do'kon
ActiveGear,1128299,2020-11-11,G'arbiy hudud,Xorazm viloyati,Urganch,Erkaklar kiyimi,695750,500,3478750000,1739375000,0.5,Outlet do'kon
ActiveGear,1128299,2020-11-12,G'arbiy hudud,Xorazm viloyati,Urganch,Ayollar kiyimi,632500,700,4427500000,664125000,0.15,Outlet do'kon
ActiveGear,1128299,2020-11-13,G'arbiy hudud,Xorazm viloyati,Urganch,Erkaklar uchun kundalik poyabzal,632500,850,5376250000,1881687500,0.35,Outlet do'kon
ActiveGear,1128299,2020-11-14,G'arbiy hudud,Xorazm viloyati,Urganch,Erkaklar uchun sport poyabzali,759000,700,5313000000,1062600000,0.2,Outlet do'kon
ActiveGear,1128299,2020-11-15,G'arbiy hudud,Xorazm viloyati,Urganch,Ayollar uchun kundalik poyabzal,759000,700,5313000000,1859550000,0.35,Outlet do'kon
ActiveGear,1128299,2020-12-22,G'arbiy hudud,Xorazm viloyati,Urganch,Ayollar uchun sport poyabzali,759000,600,4554000000,1366200000,0.3,Outlet do'kon
ActiveGear,1128299,2020-12-23,G'arbiy hudud,Xorazm viloyati,Urganch,Erkaklar kiyimi,822250,500,4111250000,2055625000,0.5,Outlet do'kon
ActiveGear,1128299,2020-12-24,G'arbiy hudud,Xorazm viloyati,Urganch,Ayollar kiyimi,759000,700,5313000000,796950000,0.15,Outlet do'kon
